qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
4923,858,4,6,5,5,101.38,99.058,99.058
4924,858,13,6,6,6,101.592,99.623,99.695
4925,858,3,131,8,7,101.12,99.42,99.773
4926,858,30,131,7,8,102.605,100.554,100.662
4927,858,16,10,14,9,100.595,100.205,100.768
4928,858,814,10,15,10,101.064,100.414,0.0
4929,858,815,15,17,11,101.311,100.874,0.0
4930,858,808,4,10,12,100.955,100.919,0.0
4931,858,67,5,18,13,101.737,101.009,0.0
4932,858,811,4,9,14,101.391,101.079,0.0
4933,858,153,5,19,15,101.386,101.162,0.0
4934,858,155,15,16,16,101.613,101.24,0.0
4935,858,813,3,12,17,102.258,101.76,0.0
4936,858,5,205,20,18,102.979,0.0,0.0
4937,858,15,205,21,19,103.884,0.0,0.0
4938,858,10,166,24,20,104.515,0.0,0.0
4939,858,817,164,22,21,104.641,0.0,0.0
4940,858,816,166,25,22,104.699,0.0,0.0
4941,858,24,164,23,23,105.159,0.0,0.0
4942,859,20,9,1,1,73.664,72.446,71.918
4943,859,17,9,2,2,73.467,72.658,72.099
4944,859,18,1,4,3,73.281,72.82,72.283
